         PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     ?C     ?C 
---------- ------ ------ ------ ------
01/07/1974  0      7.3    35     22 
02/07/1974  0      10.5   34     22.5 
03/07/1974  0      13.6   31.5   21 
04/07/1974  0      10.7   41     28 
05/07/1974  0      10.9   35     28 
06/07/1974  0      11.4   32     29 
07/07/1974  0      9.4    31.5   26 
08/07/1974  0      10.1   32     26 
09/07/1974  0      7.4    32     26 
10/07/1974  0      12.3   34     25 
11/07/1974  0      6.2    31     26 
12/07/1974  18.8   5.5    31.5   28 
13/07/1974  0      7.1    31.5   22 
14/07/1974  0      8      31     23 
15/07/1974  0      8.6    32     25 
16/07/1974  0      5.7    35     21 
17/07/1974  23     4.3    33     23 
18/07/1974  0      2.9    29     22 
19/07/1974  0      5.6    31     24 
20/07/1974  0     Nulo    31.5   24 
21/07/1974  0      8.8    32     27 
22/07/1974  0      7.2    32     27 
23/07/1974  0      8.7    33     26 
24/07/1974  0      7.5    32.5   27 
25/07/1974  0      5.7    32.5   26 
26/07/1974  0      6.7    32     22 
27/07/1974  6      6.4    35     22 
28/07/1974  4      7.2    33     22 
29/07/1974  0      3.6    32     25 
30/07/1974  0      4.6    32     25 
31/07/1974  0      6.5    34     26 
01/08/1974  6     Nulo    32     23 
02/08/1974  0      16     32     26 
03/08/1974  0      5.8    34     27 
04/08/1974  0      4.1    33     23 
05/08/1974  0      10.5   33     27 
06/08/1974  0      9.1    35     26 
07/08/1974  0      6.8    33     28 
08/08/1974  0      8.6    33     28 
09/08/1974  0      8.9    32     25 
10/08/1974  0      7.3    32.5   26 
11/08/1974  0      8.9    33     26 
12/08/1974  0      8.1    33     27 
13/08/1974  0      9.6    34     26 
14/08/1974  0      9      34     22 
15/08/1974  0      8.7    34     22 
16/08/1974  0      9.9    35     20 
17/08/1974  0      9.8    35.5   27 
18/08/1974  0      9.5    34     22.5 
19/08/1974  0      7.3    34     27 
20/08/1974  0      9.7    32     28 
21/08/1974  0      8.8    33     26 
22/08/1974  0      11.5   33     26 
23/08/1974  0      5.8    34.5   21 
24/08/1974  0      9.3    34     22 
25/08/1974  7      4.5    33     22 
26/08/1974  0      5.8    33     21.5 
27/08/1974  0      9.4    33.5   22 
28/08/1974  0      8.6    34.5   22 
29/08/1974  0      8.1    34.5   22 
30/08/1974  0      7      38     20 
31/08/1974  0      5.8    32     20.5 
01/09/1974  0      7.6    34     24 
02/09/1974  0      9.5    33.5   24.5 
03/09/1974  0      9.8    35     26 
04/09/1974  0      9.8    32.5   25 
05/09/1974  0      13.1   32.5   24 
06/09/1974  0      11.4   34     26 
07/09/1974  0      12.3   40     26.5 
08/09/1974  0      7.1    42     26 
09/09/1974  0      7.6    38.5   26.5 
10/09/1974  0      7.8    37.5   27 
11/09/1974  0      11     34.5   27 
12/09/1974  0      5.3    34     26.5 
13/09/1974  0      8      33     26 
14/09/1974  0      5.5    32     21 
15/09/1974  0      6.7    33.5   22.5 
16/09/1974  0      4.5    32.5   23.5 
17/09/1974  2.5    6      34.5   22 
26/02/1981  0.4   Nulo    16     4 
27/02/1981  0.8   Nulo    12     11 
28/02/1981  0     Nulo    17     9 
01/03/1981  1.6   Nulo    20     6 
02/03/1981  21    Nulo    16     6 
03/03/1981  7     Nulo    12     6 
04/03/1981  1.6   Nulo    15     7 
05/03/1981  2.5   Nulo    16     6 
06/03/1981  1.1   Nulo    15     6 
07/03/1981  1     Nulo    16     4 
08/03/1981  0     Nulo    20     4 
09/03/1981  0     Nulo    22     5 
10/03/1981  0     Nulo    22     4 
11/03/1981  0     Nulo    23     5 
12/03/1981  0     Nulo    21     5 
13/03/1981  0     Nulo    21     5 
14/03/1981  0     Nulo    24     4 
15/03/1981  0     Nulo    24     5 
16/03/1981  0     Nulo    25     6 
17/03/1981  0     Nulo    25     5 
18/03/1981  0     Nulo    25     5 
19/03/1981  0     Nulo    26     6 
